medical_abstract,original_condition_labels,original_condition_names,original_splits,n_tokens,was_truncated,binary_prediction,urgent_score,nonurgent_score,confidence,triage_level,pseudolabel_model,pseudolabel_threshold,max_length
"'Cystic papilloma' in humans? Demonstration of human papillomavirus in plantar epidermoid cysts. Fourteen cases of plantar epidermoid cyst were studied immunohistochemically and five of them were also studied electron microscopically for the presence of human papillomavirus. In eleven cases, the test results were positive for papillomavirus antigens, and in five of them, papillomaviruslike particles were observed by electron microscopy. Histological examination showed most of the cysts to contain intracytoplasmic eosinophilic bodies in cells of the cyst wall as well as the vacuolar structures in the keratinous mass within the cavity. These findings suggest an etiologic association between the papillomavirus and plantar epidermoid cysts. The ""cystic papilloma"" produced in rabbits by the Shope papillomavirus has been clearly demonstrated. We propose that human papillomaviruses play an important role in the genesis of plantar epidermoid cysts. This is the first report on the possible existence of a cystic papilloma in humans.",1,neoplasms,train,276,True,non-urgent,0.17918317019939423,0.8208167552947998,0.8208167552947998,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"'High single-dose' European PUVA regimen also causes an excess of non-melanoma skin cancer. We report the results of a long-term (12.8 years) follow-up study of the detection of malignant and benign skin tumours in patients with psoriasis, who were treated with PUVA according to the European, 'high single-dose' regimen. A total of 13 squamous cell carcinomas (SCC) and 24 basal cell carcinomas (BCC) were diagnosed in 11 of 260 patients. The incidence of both SCC and BCC was increased in comparison with the general Dutch population. The ratio of SCC to BCC in the general population was 1:8 but was 1:2.5 in our study group. A positive correlation was observed between the development of SCC and the total UVA dosage, the age of the patient at the start of the PUVA treatment and a history of arsenic use. This dose-related increase in the incidence of SCC, reported in studies from the U.S.A., has not been found in earlier European studies. The average time period between the start of PUVA therapy and the diagnosis of the first malignant skin tumour was 6.0 years for SCC and 4.7 years for BCC. Among the 49 benign skin tumours were actinic keratoses, a keratoacanthoma and 'PUVA keratoses', a newly described hyperkeratotic lesion, especially found in PUVA-treated patients.",1,neoplasms,test,345,True,non-urgent,0.12074828892946243,0.8792516589164734,0.8792516589164734,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"'Locked-in syndrome' for 27 years following a viral illness: clinical and pathologic findings. We describe a man who, after a presumed encephalitic illness, was ""locked-in"" for 27 years. His CT and autopsy findings showed atrophy of the brainstem and a cystic lesion at the base of the pons. He survived longer than most other patients in a similar state.",1|3|5,neoplasms|nervous system diseases|general pathological conditions,train,91,False,urgent,0.7085081338882446,0.29149189591407776,0.7085081338882446,urgente,Yuvrajxms09/biobert-triage-classifier,0.7,256
'Two-stage turbinectomy': sequestration of the inferior turbinate following submucosal diathermy. Submucous diathermy of the inferior turbinates is a widely practised procedure. Three cases are presented in which surgery was complicated by avascular necrosis of the turbinate bone. Each patient required a debridement procedure before healing and recovery of normal mucociliary function could take place.,5,general pathological conditions,train,99,False,non-urgent,0.46779802441596985,0.5322020053863525,0.5322020053863525,atenção,Yuvrajxms09/biobert-triage-classifier,0.7,256
"(A)typical symptoms during single needle dialysis. In 5 elderly patients, an abnormally high occurrence of some symptoms was noted during dialysis. All patients were dialyzed with biocompatible membranes, bicarbonate dialysate, and a blood flow of 250 to 300 ml/min by a single needle system, on a fistula 14 Gauge catheter-needle. These symptoms were: 1) ""angina,"" resistant to O2 and nitrates, with biochemical stigmata of infarction, but without electrocardiogram (ECG) localization; 2) intractable persistent hypotension, not hypovolemic, lasting 1 or 2 days; 3) esophagal spasms, with inability to swallow solid food. Because we knew that these symptoms were compatible with hemolysis (biochemically proven by the increase in serum LDH during dialysis and by a fall in haptoglobin) due to red cell fragmentation (RCF), we switched these patients from fistula dialysis (A) to central catheter dialysis (B), with the same apperture, blood flow, etc. The total number of sessions of A versus B were 512 and 891; the mean LDH ratios (serum LDH postdialysis divided by predialysis) were 1.8 and 1.0 (= no RCF); angina events were 132 (26%) for A, and 25 (3%) for B; persistent hypotension was seen 37 (7%) times in A and 5 (0.6%) times in B; esophagal spasms were noted 65 (13%) times for A, and 0 times for B. This clinical improvement was so overwhelming that 3 patients refused to be dialyzed again using their well functioning fistulae. This study also proved the need for a better designed and manufactured peripheral dialysis catheter-needle.",2|4|5,digestive system diseases|cardiovascular diseases|general pathological conditions,train,437,True,urgent,0.7635987997055054,0.23640118539333344,0.7635987997055054,urgente,Yuvrajxms09/biobert-triage-classifier,0.7,256
"1,25-Dihydroxyvitamin D3 receptor RNA: expression in hematopoietic cells. 1,25-Dihydroxyvitamin D3 [1,25(OH)2D3] induces differentiation and inhibits proliferation of myeloid leukemic cells from various lines and patients; these effects are probably mediated through the 1,25(OH)2D3 receptor. Little is known of expression of 1,25(OH)2D3 receptor RNA in hematopoietic cells. We examined the expression and modulation of expression of 1,25(OH)2D3 receptor RNA in various proliferating and nonproliferating hematopoietic cells. Constitutive expression of 1,25(OH)2D3 receptor RNA was detected in various kinds of hematopoietic cells, including macrophages and activated T lymphocytes, as well as in cell lines KG-1 (myeloblasts), HL-60 (promyelocytes), ML-3 (myelomonoblasts), U937, THP-1 (monoblasts), K562 (erythroblasts), and S-LB1 (HTLV-1-transfected T lymphocytes). Receptor transcripts were 4.6 kilobases (kb), and no variant sizes were observed. All cell lines examined in this group also expressed 1,25(OH)2D3 receptors. Most B lymphocyte lines expressed negligible levels of 1,25(OH)2D3 receptor RNA and protein; however; analysis of a lymphoid/myeloid somatic hybrid suggested that suppression of expression of 1,25(OH)2D3 receptor RNA in B lymphocytes may be a dominant characteristic. HL-60 cells were cultured with 10(-7) mol/L 1,25(OH)2D3 for 24 to 72 hours, and levels of expression of 1,25(OH)2D3 receptor and its RNA were examined. Levels of RNA coding for the receptor were not modulated by exposure to high levels of ligand. Levels of occupied 1,25(OH)2D3 receptor protein increased in these HL-60 cells; but the total number of 1,25(OH)2D3 receptors decreased about 50% at 24 hours and returned toward normal at 72 hours. Steady-state levels of 1,25(OH)2D3 receptor RNA were not affected by terminal differentiation of HL-60 toward either granulocytes or macrophages. Nondividing macrophages from normal individuals also expressed 1,25(OH)2D3 receptor RNA. In contrast, nondividing peripheral blood lymphocytes from normal individuals did not express 1,25(OH)2D3 receptor RNA; with stimulation of proliferation of these cells, accumulation of 1,25(OH)2D3 receptor RNA increased markedly. Half-life (t1/2) of 1,25(OH)2D3 receptor RNA in T lymphocytes was short (1 hour) as determined by measuring decay of the message after addition of actinomycin D. Consistent with this short t1/2, accumulation of 1,25(OH)2D3 receptor RNA increased in cells as their protein synthesis was inhibited. Further studies are required to understand the physiologic role of 1,25(OH)2D3 receptors in myeloid cells and proliferating T lymphocytes.",1,neoplasms,train,762,True,non-urgent,0.17800138890743256,0.8219985961914062,0.8219985961914062,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"11 beta-hydroxyandrostenedione: a marker of adrenal function in hirsutism. To assess the role of the adrenal glands in the development of hirsutism, levels of 11 beta-hydroxyandrostenedione (11 beta-OHA), 17 alpha-hydroxyprogesterone (17-OHP), dehydroepiandrosterone sulphate (DHEAS), androstenedione (delta 4A), and free and total testosterone (T) were measured in 63 hirsute females and 30 control patients. Six of the hirsute patients had basal levels of 11 beta-OHA and 17-OHP and responses to adrenocorticotropic hormone that were significantly greater than these values in controls and the other hirsute women. These women were designated as having an adrenal source for their hirsutism. Women with polycystic ovarian syndrome and idiopathic hirsutism had normal values of 11 beta-OHA and 17-OHP. Levels of total and free T, DHEAS and delta 4A were significantly higher than control values in all of the hirsute women. This study demonstrates that 11 beta-OHA can be used as a marker to assess the adrenal contribution to hirsutism.",1,neoplasms,test,293,True,non-urgent,0.09994088113307953,0.900059163570404,0.900059163570404,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"11 beta-hydroxylase deficiency in hyperandrogenism. OBJECTIVE: to determine the 11-deoxycortisol (S) response and incidence of 11 beta-hydroxylase deficiency in hyperandrogenism. DESIGN: Hyperandrogenic women prospectively and consecutively underwent acute adrenal stimulation studies. SETTING: Tertiary institution. PATIENTS: Two hundred sixty women complaining of hirsutism and/or hyperandrogenic oligomenorrhea were studied, excluding five unrelated families (1.9% of total) suffering from 21-hydroxylase deficient late-onset adrenal hyperplasia. Forty-one healthy premenopausal eumenorrheic women served as controls. MAIN OUTCOME MEASURES: Only two unrelated women (0.8%) had a poststimulation or net increment S level value greater than or equal to threefold the upper 95th percentile of controls and were presumed to suffer from 11 beta-hydroxylase deficient late-onset adrenal hyperplasia. One hundred nine (42%) of hyperandrogenic women had at least one S value above the 95th percentile of controls. These women also demonstrated higher basal (F0) and stimulated cortisol levels, but a similar increment compared with controls. RESULTS: Patients with high S measures had higher testosterone, dehydroepiandrosterone sulfate, and androstenedione levels, but similar luteinizing hormone/follicle-stimulating hormone ratios, than hyperandrogenic cohorts with no abnormal S measures. Basal values of S (S0), F0, or S0/F0 were not useful to predict an abnormal S response to stimulation. CONCLUSIONS: Although adrenocortical hyperactivity was present in 42% of our hyperandrogenic patients, only 0.8% were presumed to suffer from 11 beta-hydroxylase deficient late-onset adrenal hyperplasia. A systemic search for this deficiency in hyperandrogenism is probably unwarranted.",5,general pathological conditions,train,490,True,non-urgent,0.11579042673110962,0.8842096328735352,0.8842096328735352,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"131I treatment of thyroid papillary carcinoma in a patient with renal failure. Procedures for 131I ablation in renal failure are not known. In one patient receiving dialysis, detailed dosimetry and health safety aspects were obtained. The results showed insignificant contamination of equipment, but a surprisingly significant reduction in biologic half-life of 131I due to efficient dialysis extraction. The data indicate that 131I ablation can be done safely and easily during dialysis but that much higher 131I doses must be used to achieve equivalent results to those obtained in patients with normal renal function.",1,neoplasms,train,136,False,non-urgent,0.4261028468608856,0.5738971829414368,0.5738971829414368,atenção,Yuvrajxms09/biobert-triage-classifier,0.7,256
"18F-2-deoxy-2-fluoro-D-glucose uptake into human tumor xenografts. Feasibility studies for cancer imaging with positron-emission tomography. The positron-emitting glucose analogue 18F-2-fluoro-2-deoxy-d-glucose (FDG) was evaluated for its accretion into the following subcutaneous human tumor xenografts in nude mice: B-cell lymphoma (Namalwa or Raji), ovarian carcinoma (HTB77), colon cancer (SW948), choriocarcinoma (BEWO), bladder cancer (UM-UC-2), renal cell carcinoma (UM-RC-3), neuroblastoma (Mey), melanoma (HTB63), and small cell lung carcinoma (NCI69). Two hours postinjection, tumor uptakes ranged from 0.027 (colon cancer) to 0.125% kg injected dose/g (melanoma); and was greater than 0.085 in the Namalwa lymphomas and the renal cell carcinomas. Tumor-blood ratios of up to 23:1 were seen 2 hours postinjection (melanoma) with a mean tumor-blood ratio for all tumors of 12.3 +/- 1.8. Uptake in the other tumors was intermediate. When evaluated, tumor uptake was slightly greater at 1 than at 2 hours postinjection, although target-background ratios were generally higher at 2 hours postinjection. This compound, FDG, may have broad applicability as a tracer for positron-emission tomographic imaging of many human malignancies.",1,neoplasms,train,401,True,urgent,0.5353748202323914,0.46462520956993103,0.5353748202323914,atenção,Yuvrajxms09/biobert-triage-classifier,0.7,256
