medical_abstract,triage_level,urgent_score,nonurgent_score,confidence,binary_prediction,n_tokens,was_truncated,original_condition_labels,original_condition_names,original_splits,pseudolabel_model,pseudolabel_threshold,max_length
"Abdominal wall pain: an alternative diagnosis. The cause of abdominal pain need not necessarily reside in the viscera; the abdominal wall is another source of symptoms. Some causes of abdominal wall pain are obvious, e.g. hernias, but not so others such as nerve entrapment syndromes. This review is concerned with causes of abdominal wall pain which, although common, may be easily overlooked.",normal,0.1530690342187881,0.846930980682373,0.846930980682373,non-urgent,87,False,2|3,digestive system diseases|nervous system diseases,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Alternating cisplatinum and VAC ineffective in end stage squamous cell carcinoma of the head and neck. Sixteen patients with end stage squamous cell carcinoma of the head and neck were admitted to a phase II study of alternating courses of cisplatinum (100 mg/m2) and VAC (vincristine 1.4 mg/m2, adriamycin 50 mg/m2, cyclophosphamide 750 mg/m2) given at three weekly intervals. Only two patients achieved a response (12 per cent). The median survival time was 62 days which is much the same as that of a similar group of patients who received no chemotherapy in a previous trial (70 days).",atenção,0.5699432492256165,0.4300567805767059,0.5699432492256165,urgent,166,False,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Adrenal hormones and the anorectic response and adaptation of rats to amino acid imbalance. The role of adrenal function in the anorectic response and adaptation of rats to a diet with an isoleucine (Ile) imbalance was investigated. In the first of four experiments, rats were fed a mildly Ile-imbalanced diet after treatment with metyrapone, and inhibitor of glucocorticoid synthesis. In two separate experiments, rats were presented with either a mildly or severely Ile-imbalanced diet (4.93 and 9.86% imbalanced amino acid mixture, respectively) after bilateral adrenalectomy. Finally, the effects of ICS 205-930, a serotonin-3 receptor antagonist, on the intake of mildly Ile-imbalanced diet were tested in adrenalectomized animals. In each experiment a 2 X 2 factorial design was used. Neither metyrapone nor adrenalectomy altered the initial depression in the intake of an imbalanced diet. The adaptation phase in the response of adrenalectomized rats fed a mildly Ile-imbalanced diet was not different from that of controls, but adrenalectomized rats fed severely Ile-imbalanced diets were unable to adapt. Adrenalectomy did not alter the anti-anoretic activity of ICS 205-930 in this model. These results suggest that adrenal hormones are not necessary for the initial anoretic response or adaptation of rats to an Ile-imbalanced diet, nor are they implicated in the anti-anorectic effect of serotonin-3 blockade.",normal,0.1031574010848999,0.8968425393104553,0.8968425393104553,non-urgent,363,True,5,general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A case of dyschondroplasia associated with brain stem glioma: diagnosis by stereotactic biopsy. We present a 24-year-old patient with multiple chondromas of both hands, the pelvis, the left leg, and an associated brain stem glioma. There was no evidence of hemangioma or dyschromia, and the condition was diagnosed as Ollier's disease, a special type of dyschondroplasia like Maffucci's syndrome and Kast's disease. An increased overall risk for development of malignant skeletal and nonskeletal tumors is associated with Maffucci's syndrome. The risk of malignant degeneration is lower in Ollier's disease. A glioma in the pons and the right lobe of the cerebellum was found in this patient. The literature describes an association with gliomas in only 12 cases of dyschondroplasia and an infratentorial localization in just one case. Signs of malignancy were histologically confirmed in 7 cases without significant preponderance of any one type. Our patient had a low-grade brain stem astrocytoma with fibrillar and gemistocytic components. A stereotactic serial biopsy made it possible to rule out malignant degeneration. Stereotactic brain tumor biopsy as a routine neurosurgical procedure is particularly valuable for deep space-occupying processes and forms the basis for therapy. In the present case, irradiation was not recommended.",atenção,0.5238831639289856,0.4761168658733368,0.5238831639289856,urgent,339,True,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A 170-kDa membrane-bound protease is associated with the expression of invasiveness by human malignant melanoma cells. Malignant spreading of cancer cells requires cell surface proteases that cleave the crosslinked collagenous matrix of connective tissues. From correlating the morphologically defined invasiveness of tumor cells with the presence of specific membrane-associated proteases, we have identified a malignant human melanoma cell line, LOX, that invades crosslinked gelatin films in vitro and contains uniquely a neutral 170-kDa gelatinase in the cell membrane. A similar gelatinase was found in membranes recovered from culture media conditioned with LOX. The 170-kDa gelatinase is a wheat germ agglutinin-binding protein. The proteolytic activity is maximal at neutral pH, enhanced by EDTA and dithiothreitol, inhibited by the cysteine protease inhibitors N-ethylmaleimide, HgCl2, and phenylmethylsulfonyl fluoride, and can bind to an organomercurial adsorbent, suggesting that it is a neutral sulfhydryl-sensitive protease. This 170-kDa gelatinase of LOX cells was not found in a control melanoma cell line, SK-MEL28, or in 32 other tumor cell lines that did not show extracellular gelatin degradation. Thus, we have identified a large membrane-bound protease that may be a specific marker molecule for melanoma cell invasiveness.",atenção,0.3587629199028015,0.6412370800971985,0.6412370800971985,non-urgent,360,True,1,neoplasms,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Age at onset of Alzheimer's disease. Relation to language dysfunction. A later age at onset of Alzheimer's disease (AD) was found to be related to diminished language performance in 86 patients with probable AD. A hierarchical linear model was constructed to assess effects of age at onset and disease duration on the performance of patients with AD on four language tasks (naming, reading, auditory comprehension, and writing to dictation) after controlling for disease severity. Results of univariate analysis, in which the dependent variable was the averaged language task performances, revealed a significant effect for age at onset of AD, but not for disease duration. To assess the possibility that the relationship between the age at onset of AD and language performance reflects effects of normal aging, the language tasks were given to 33 normal subjects of similar ages who scored perfectly on dementia severity measures. A convincing relationship was not found between test score and age.",normal,0.0873381644487381,0.9126618504524232,0.9126618504524232,non-urgent,196,False,3,nervous system diseases,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Alternation of gastric mucosal glycoprotein (lectin-binding pattern) in gastric mucosa in stress. A light and electron microscopic study. Gastric mucosal cells of the rat glandular stomach were studied by light and electron microscopic procedures by use of lectins in the development of acute gastric mucosal lesions. Effects of the H2-receptor antagonist sofalcone (2'carboxymethoxy-4,4'-bis 3-methyl-2) and truncal vagotomy with pyloroplasty on lectin binding sites and distribution were also investigated. Biotinylated lectins in combination with ABC (avidin-biotinyl peroxidase complex) method were used for light and horseradish peroxidase (HRP)-labeled lectins for electron microscopic studies. Gastric mucosal cells showed the specific binding pattern for each lectin by light microscopy. Especially, binding sites and distribution of peanut agglutinin (PNA) were characteristic after induction of stress, truncal vagotomy, and administration of each drug. Staining and distribution increased in the gastric mucosa upward and downward after that. In electron microscopic studies, PNA strongly stained the membranes of the intracellular secretory canaliculi of a parietal cell. These results suggested that alternation of binding sites and distribution was regulated by change of gastric mucosal blood flow and of acidity in the parietal cells. Therefore, increase of glycoconjugate distribution is supposed to be a possibility of cytoprotective effect for a change of environment in the parietal cells.",normal,0.1463963985443115,0.8536036610603333,0.8536036610603333,non-urgent,383,True,2|5,digestive system diseases|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A downstream initiation element required for efficient TATA box binding and in vitro function of TFIID. The gfa gene encodes glial fibrillary acidic protein, an intermediate filament protein expressed in glial cells. In vitro transcription analysis has shown that the human gfa promoter contains two initiation elements that can independently specify the transcription startpoint. One of the elements is a TATA box 25 base pairs (bp) upstream from the transcription startpoint; the other is located between 10 and 50 bp downstream from the transcription initiation site. We have now shown by transfection that both elements are required for efficient transcription in cultured cells. A partially purified natural human TATA box-binding factor (TFIID) from HeLa cells gave footprints that extended from upstream of the TATA box through the downstream initiator. Deletion of the downstream initiator inhibited both TFIID binding to the TATA box and transcription in vitro. In contrast to natural human TFIID, clone human and yeast TFIIDs expressed in bacteria gave footprints covering only the TATA box region, although hypersensitive sites were observed in the downstream region. The cloned TFIIDs also showed less dependence than natural human TFIID on the downstream initiator for both TATA box binding and in vitro transcription. These results suggest that natural human TFIID contains an additional component(s) that contribute(s) to stable TFIID binding and effective transcription by interacting with the downstream initiator.",normal,0.1735977381467819,0.8264023065567017,0.8264023065567017,non-urgent,335,True,1,neoplasms,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A report on radiation-induced gliomas. Radiation-induced gliomas are uncommon, with only 73 cases on record to date. The disease that most frequently occasioned radiation therapy has been acute lymphoblastic leukemia (ALL). Three more cases are added here, two after irradiation for ALL and one after irradiation for tinea capitis. In a review of the relevant literature, the authors stress the possibility that the ALL-glioma and the retinoblastoma-glioma links point to syndromes in their own right that may occur without radiation therapy.",normal,0.2764664590358734,0.723533570766449,0.723533570766449,non-urgent,129,False,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A new challenge--robotics in the rehabilitation of the neurologically motor impaired. Rehabilitation robotics is a research area, originating in engineering, that has emerged in the last decade. Its broad aim is to use robot technology to assist people with movement dysfunction. The neurologically impaired population might gain considerably from the provision of robots as ""assistants"" or ""therapy aides,"" but the interface with the machine must match both the physical and intellectual abilities of the user. We therefore consider a multidisciplinary approach, encompassing both behavioral and engineering perspectives, to be essential in achieving this aim. However, to date, published reports have been largely restricted to engineering journals or conference reports, and relatively little has appeared in the therapy literature. This article seeks to introduce physical therapists to robotics, describe possible applications to the rehabilitation of neurologically impaired patients, and suggest issues deserving further investigation.",normal,0.0515269748866558,0.9484729766845704,0.9484729766845704,non-urgent,189,False,3,nervous system diseases,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
